PSN,PresBlue,PresRed,SenBlue,SenRed,CongD2011,CongD2021,SenD2011,SenD2021,HouseD2011,HouseD2021,OBJECTID,PName,PCode,County,Pop2010,Pct_Area,Pct_Perim,CountyName,Reg_Voters,PresOther,SenOther,Shape_Length,Shape_Area,Pop2020
56,441,1063,453,1048,2,2,25,25,84,84,305,MIDLAND VALLEY NO. 71,071,003,2441,15.58106991,19.92042642,AIKEN,2236,19,20,65355.59901,167713240.7,2999
57,541,904,529,916,2,2,24,24,81,81,331,MILLBROOK,020,003,2470,4.230039616,12.30867009,AIKEN,2149,24,24,40382.69512,45531767.49,2408
58,579,853,589,852,2,2,25,25,84,83,303,MISTY LAKES,045,003,2629,38.90293885,26.71306735,AIKEN,2184,21,15,87641.1218,418747748.7,3058
59,321,459,334,453,2,2,26,25,86,86,316,MONETTA,021,003,1959,90.6936627,46.86416013,AIKEN,1174,15,16,153753.4987,976218460.6,1868
60,532,883,541,873,2,2,24,24,86,86,345,MONTMORENCI NO. 22,022,003,1984,17.68483067,17.57259938,AIKEN,2063,21,21,57652.76981,190357933.1,2507
61,269,469,266,469,2,2,24,24,86,86,346,MONTMORENCI NO. 78,078,003,1515,59.32324324,37.08783535,AIKEN,1092,13,14,121679.0065,638550075.9,1438
62,425,583,441,572,2,2,24,24,83,83,289,N. AUGUSTA NO. 25,025,003,2417,4.338647398,10.67962406,AIKEN,1920,22,10,35038.06661,46700811.92,2565
63,349,367,351,359,2,2,24,24,83,83,294,N. AUGUSTA NO. 26,026,003,1537,1.647910341,7.312444659,AIKEN,1361,18,22,23990.91218,17737959.28,1559
64,233,986,227,988,2,2,24,24,83,83,295,N. AUGUSTA NO. 27,027,003,2008,3.210248824,8.822308667,AIKEN,1726,19,25,28944.52435,34554830.76,1927
65,257,618,250,633,2,2,24,24,83,83,293,N. AUGUSTA NO. 28,028,003,1414,1.475734247,5.626627595,AIKEN,1327,17,11,18460.02737,15884671.24,1392
66,463,669,467,688,2,2,24,24,83,83,290,N. AUGUSTA NO. 29,029,003,1773,2.599776601,8.004371868,AIKEN,1886,39,17,26261.01004,27983762.44,2320
67,406,347,425,328,2,2,24,24,83,83,349,N. AUGUSTA NO. 54,054,003,2004,3.176069967,8.119806632,AIKEN,1386,16,13,26639.73226,34186932.6,2076
68,236,517,230,522,2,2,24,24,83,83,291,N. AUGUSTA NO. 55,055,003,1310,1.322834855,5.054710781,AIKEN,1169,7,9,16583.66362,14238875.88,1352
69,275,735,284,736,2,2,24,24,83,83,292,N. AUGUSTA NO. 67,067,003,1463,7.278588368,17.15154606,AIKEN,1445,21,11,56271.36402,78346073.16,1676
70,564,1323,580,1312,2,2,24,24,83,83,296,N. AUGUSTA NO. 68,068,003,1950,6.269632393,11.73080712,AIKEN,2658,29,30,38486.82304,67485761.42,3300
71,187,452,193,451,2,2,24,24,83,83,355,N. AUGUSTA NO. 80,080,003,1142,1.506764287,5.457616319,AIKEN,980,14,12,17905.52954,16218675.8,1279
72,546,565,560,549,2,2,24,24,86,81,339,NEW ELLENTON,023,003,2067,10.95623987,13.95285127,AIKEN,1732,21,29,45776.97954,117931984.4,2247
