PSN,unshared,area,pop,voteA,voteB,Cong2011,Sen2011,House2011,CongLWV,CongRuoff,SenLWV,HouseLWV,CongDraft,CongDrft2H,CongDrft3H,CongDrft2S,SenDraft,HouseDraft,HouseDrft2,HouseNAACP,county
81,0,69.13866114,970,170,353,2,24,86,2,2,24,86,2,2,2,2,24,86,86,86,AIKEN
82,0,78.31327444,2730,439,960,2,26,86,2,2,25,86,2,2,2,2,24,86,86,86,AIKEN
83,0,87.34426725,2651,755,592,2,24,84,2,2,24,81,2,2,2,2,24,86,86,81,AIKEN
84,0,6.261286293,2953,495,660,2,24,81,2,2,24,82,2,2,2,2,24,82,82,81,AIKEN
85,0,6.3474085,1967,716,108,2,26,82,2,2,24,82,2,2,2,2,24,82,82,82,AIKEN
86,0,27.10912077,2170,418,1135,2,24,81,2,2,24,81,2,2,2,2,24,81,81,84,AIKEN
87,0,9.255427573,2359,511,875,2,24,86,2,2,24,86,2,2,2,2,24,81,81,86,AIKEN
88,0,11.45022435,2642,608,1139,2,24,81,2,2,24,81,2,2,2,2,24,81,81,81,AIKEN
89,0,293.3143532,0,0,0,2,24,86,2,2,24,81,2,2,2,2,24,86,86,81,AIKEN
90,0,119.9836869,962,243,256,2,26,86,2,2,25,86,2,2,2,2,40,86,86,86,AIKEN
91,0,47.66397255,2655,555,791,2,24,86,2,2,24,81,2,2,2,2,24,86,86,81,AIKEN
92,0,55.07112114,3073,630,838,2,25,82,2,2,25,84,2,2,2,2,25,84,84,82,AIKEN
93,0,127.6161438,2870,593,827,2,26,86,2,2,25,86,2,2,2,2,40,86,86,86,AIKEN
94,0,125.0483917,2206,437,642,2,26,86,2,2,25,86,2,2,2,2,25,86,86,86,AIKEN
95,0,15.08890949,2939,373,843,2,24,81,2,2,24,84,2,2,2,2,24,81,81,81,AIKEN
96,0,81.22573352,1184,274,289,2,26,86,2,2,24,86,2,2,2,2,40,86,86,86,AIKEN
97,0,6.601057568,2282,221,663,2,25,84,2,2,25,84,2,2,2,2,25,84,84,84,AIKEN
98,0,113.3176019,2037,283,482,2,24,86,2,2,24,86,2,2,2,2,40,86,86,86,AIKEN
99,0,75.83329995,1762,235,461,2,24,86,2,2,24,86,2,2,2,2,40,86,86,86,AIKEN
100,0,18.35932495,1488,548,115,6,40,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
101,0,3.452101352,1388,632,15,6,45,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
102,0,58.56275263,723,228,129,6,40,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
103,0,310.611944,2276,654,62,6,45,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
104,0,215.7495066,343,165,44,6,45,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
105,0,110.4262708,462,82,175,6,40,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
106,0,85.3567792,276,68,99,6,40,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
107,0,265.636219,1083,392,191,6,45,91,2,2,40,91,6,2,6,6,40,90,91,91,ALLENDALE
108,0,4.867510434,2837,426,620,3,3,6,3,3,3,9,3,3,3,3,3,6,6,6,ANDERSON
109,0,2.274095724,1772,293,750,3,3,9,3,3,3,9,3,3,3,3,3,9,9,9,ANDERSON
110,0,2.61816668,1962,335,679,3,3,9,3,3,3,9,3,3,3,3,4,9,9,9,ANDERSON
111,0,5.226502298,5186,699,1076,3,3,9,3,3,3,9,3,3,3,3,3,9,9,9,ANDERSON
112,0,2.425427174,1798,307,197,3,4,9,3,3,4,6,3,3,3,3,4,9,9,7,ANDERSON
113,0,9.323588606,2093,372,294,3,4,9,3,3,4,6,3,3,3,3,4,9,9,7,ANDERSON
114,0,2.737505289,2544,563,107,3,4,9,3,3,4,6,3,3,3,3,4,9,9,7,ANDERSON
115,0,10.53876664,3352,1015,326,3,4,7,3,3,4,6,3,3,3,3,4,7,7,7,ANDERSON
116,0,5.287999035,2459,606,132,3,4,8,3,3,4,6,3,3,3,3,4,8,8,7,ANDERSON
117,0,2.904033844,2878,523,774,3,3,6,3,3,3,9,3,3,3,3,4,9,9,7,ANDERSON
118,0,3.613631115,2602,464,189,3,4,6,3,3,4,6,3,3,3,3,4,8,8,7,ANDERSON
119,0,3.112386747,1916,285,211,3,3,6,3,3,3,6,3,3,3,3,3,8,8,7,ANDERSON
120,0,20.17282569,586,34,297,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
121,0,17.43598387,3376,390,919,3,4,7,3,3,4,7,3,3,3,3,4,7,7,9,ANDERSON
122,0,22.18052878,2832,360,931,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
123,0,81.9918868,3108,407,1049,3,3,6,3,3,3,8,3,3,3,3,3,6,6,6,ANDERSON
124,0,19.07637886,1232,90,461,3,3,9,3,3,4,9,3,3,3,3,3,9,9,9,ANDERSON
125,0,7.53685288,829,315,159,3,4,7,3,3,4,6,3,3,3,3,4,7,7,7,ANDERSON
126,0,18.59153624,1332,185,423,3,4,7,3,3,4,7,3,3,3,3,4,7,7,9,ANDERSON
127,0,23.6027895,3341,417,1567,3,3,10,3,3,3,10,3,3,3,3,3,6,6,6,ANDERSON
128,0,35.04928545,2437,192,815,3,4,7,3,3,4,7,3,3,3,3,4,7,7,9,ANDERSON
129,0,52.68399279,3616,481,1396,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
130,0,12.59526268,4083,637,1470,3,3,8,3,3,3,8,3,3,3,3,3,8,8,8,ANDERSON
131,0,6.416759421,4150,663,1354,3,3,8,3,3,3,6,3,3,3,3,3,8,8,8,ANDERSON
132,0,4.222359124,1411,202,209,3,4,7,3,3,4,7,3,3,3,3,4,7,7,11,ANDERSON
133,0,15.40949856,4982,671,1677,3,3,10,3,3,3,10,3,3,3,3,3,10,10,10,ANDERSON
