OID_,ID,VTD,COUNTY,STATE,NAME,POPULATION,PSN,CountyName,Reg_Voters,PresBlue,PresRed,PresOther,SenBlue,SenRed,SenOther,Pct_Area,Pct_Perim,Cong2011,Sen2011,House2011,Cong2021,Sen2021,House2021,Shape_Leng,Shape_Area,SenPlan,HousePlan,HouseDrft2,CongDraft,CongRuoff,CongDrft2H,CongDrft3H
20,39926.000000000000000,45003000049,45003,45,Willow Springs,2282,97.000000000000000,AIKEN,1380.000000000000000,206.000000000000000,683.000000000000000,13.000000000000000,221.000000000000000,663.000000000000000,16.000000000000000,6.601057567500000,10.954222846000000,2,25,84,2,25,84,0.108471703714000,0.000640549186850,25,84,84,2,2,2,2
21,39945.000000000000000,45003000084,45003,45,Ascauga Lake No. 84,1548,24.000000000000000,AIKEN,1359.000000000000000,288.000000000000000,675.000000000000000,15.000000000000000,292.000000000000000,675.000000000000000,11.000000000000000,8.381139559810000,14.770808328099999,2,25,84,2,25,83,0.145396769949000,0.000813571094175,25,84,84,2,2,2,2
22,39967.000000000000000,45003000063,45003,45,Ascauga Lake No. 63,1341,23.000000000000000,AIKEN,1089.000000000000000,236.000000000000000,476.000000000000000,8.000000000000000,248.000000000000000,461.000000000000000,11.000000000000000,2.114091235000000,7.340724776170000,2,25,84,2,25,83,0.075178919571800,0.000205243441070,25,84,84,2,2,2,2
23,39983.000000000000000,45003000071,45003,45,Midland Valley No. 71,2999,56.000000000000000,AIKEN,2236.000000000000000,441.000000000000000,1063.000000000000000,19.000000000000000,453.000000000000000,1048.000000000000000,20.000000000000000,15.594169114500000,19.838883958299999,2,25,84,2,25,84,0.199549921362000,0.001513456879540,25,84,84,2,2,2,2
24,40004.000000000000000,45003000048,45003,45,Hammond No. 48,1613,45.000000000000000,AIKEN,1369.000000000000000,372.000000000000000,573.000000000000000,14.000000000000000,379.000000000000000,572.000000000000000,12.000000000000000,18.576882227199999,22.186884262000000,2,24,84,2,24,84,0.225337258133000,0.001801080801800,24,84,84,2,2,2,2
25,40023.000000000000000,45003000059,45003,45,Pine Forest,2668,76.000000000000000,AIKEN,1919.000000000000000,326.000000000000000,1012.000000000000000,19.000000000000000,345.000000000000000,992.000000000000000,20.000000000000000,34.440064928500000,26.857530308299999,2,24,84,2,24,81,0.263351492038000,0.003340766623340,24,84,84,2,2,2,2
26,40046.000000000000000,45003000019,45003,45,Lynwood,1463,54.000000000000000,AIKEN,973.000000000000000,128.000000000000000,463.000000000000000,11.000000000000000,137.000000000000000,447.000000000000000,15.000000000000000,7.779356385610000,13.121476888400000,2,25,84,2,25,84,0.128762119337000,0.000754787474555,25,84,84,2,2,2,2
27,40063.000000000000000,45003000018,45003,45,Langley,2324,50.000000000000000,AIKEN,1462.000000000000000,190.000000000000000,600.000000000000000,8.000000000000000,203.000000000000000,577.000000000000000,19.000000000000000,10.814465223999999,15.650376914700001,2,25,84,2,25,84,0.154207591387000,0.001049370621130,25,84,84,2,2,2,2
28,40083.000000000000000,45003000051,45003,45,Midland Valley No. 51,3282,55.000000000000000,AIKEN,2508.000000000000000,616.000000000000000,1150.000000000000000,24.000000000000000,629.000000000000000,1138.000000000000000,26.000000000000000,17.637039311900001,19.422868036899999,2,25,84,2,25,84,0.196620517353000,0.001712172186630,25,84,84,2,2,2,2
29,40107.000000000000000,45003000015,45003,45,Gloverville,1678,43.000000000000000,AIKEN,1041.000000000000000,165.000000000000000,520.000000000000000,12.000000000000000,179.000000000000000,502.000000000000000,16.000000000000000,7.010626136830000,14.271275132100000,2,24,84,2,24,84,0.142580696312000,0.000680393546892,24,84,84,2,2,2,2
30,40126.000000000000000,45003000041,45003,45,Warrenville,2939,95.000000000000000,AIKEN,1994.000000000000000,355.000000000000000,881.000000000000000,14.000000000000000,373.000000000000000,843.000000000000000,33.000000000000000,15.088909494999999,16.872370741000001,2,24,81,2,24,84,0.168474300238000,0.001464699806930,24,81,81,2,2,2,2
31,40149.000000000000000,45053000107,45053,45,HARDEEVILLE 2,1668,1345.000000000000000,JASPER,1049.000000000000000,363.000000000000000,198.000000000000000,4.000000000000000,370.000000000000000,191.000000000000000,3.000000000000000,81.298297899999994,51.738849441500001,6,45,122,2,45,122,0.503397113585000,0.007785902776410,45,122,122,1,2,2,6
32,1501309.000000000000000,45081000014,45081,45,Pleasant Grove,924,1950.000000000000000,SALUDA,801.000000000000000,116.000000000000000,525.000000000000000,4.000000000000000,115.000000000000000,516.000000000000000,15.000000000000000,44.911938687499998,33.100289933799999,3,25,39,3,10,39,0.337313520772000,0.004385414903480,10,39,39,3,3,3,3
33,1501329.000000000000000,45003000024,45003,45,New Holland,1315,73.000000000000000,AIKEN,823.000000000000000,138.000000000000000,431.000000000000000,8.000000000000000,144.000000000000000,422.000000000000000,11.000000000000000,130.838200742999987,65.087814516999998,2,26,86,2,25,86,0.641492660691000,0.012719267223600,40,86,86,2,2,2,2
34,1501348.000000000000000,45003000036,45003,45,Tabernacle,962,90.000000000000000,AIKEN,747.000000000000000,242.000000000000000,258.000000000000000,7.000000000000000,243.000000000000000,256.000000000000000,6.000000000000000,119.983686863000003,48.874598215600003,2,26,86,2,25,86,0.484739303888000,0.011653223584600,40,86,86,2,2,2,2
