GEOID20,District
450379705013023,2
450379705013024,2
450379705013025,2
450379705013026,2
450379705013027,2
450379705013028,2
450379705013029,2
450379705013030,2
450379705021008,2
450379705021009,2
450379705021010,2
450379705021011,2
450379705021012,2
450379705021013,2
450379705021014,2
450379705021015,2
450379705021016,2
450379705021017,2
450379705021018,2
450379705021019,2
450379705021020,2
450379705021021,2
450379705021022,2
450379705021023,2
450379705021024,2
450379705021025,2
450379705021026,2
450379705021027,2
450379705021028,2
450379705021029,2
450379705021030,2
450379705021031,2
450379705021032,2
450379705021033,2
450379705021034,2
450379705021035,2
450379705021036,2
450379705021037,2
450379705021038,2
450379705022000,2
450379705022003,2
450030205001035,2
450030205001036,2
450030205001037,2
450030205001038,2
450030205001039,2
450030205001040,2
450030208011000,2
450030208011001,2
450030208011002,2
450030208011003,2
450030208011004,2
450030208011005,2
450030208011006,2
450030208011007,2
450030208011008,2
450030208011009,2
450030208011010,2
450030208011012,2
450030208011013,2
450030208011014,2
450030208011015,2
450030208011016,2
450030208011017,2
450030208011018,2
450030208011019,2
450030208011020,2
450030208011021,2
450030208011022,2
450030208011023,2
450030208011024,2
450030208011026,2
450030208011027,2
450030208012000,2
450030208012010,2
450030208012011,2
450030208012012,2
450030208012015,2
450030208012016,2
450030208012018,2
450030208012019,2
450030208012021,2
450030208021007,2
450030208021008,2
450030208021009,2
450030208021016,2
450030208021047,2
450030205001000,2
450030205001001,2
450030205001002,2
450030205001003,2
450030205001004,2
450030205001005,2
450030205001006,2
450030205001007,2
450030205001008,2
450030205001009,2
450030205001010,2
450030205001011,2
450030205001012,2
450030205001013,2
450030205001014,2
450030205001015,2
450030205001016,2
450030205001017,2
450030205001018,2
450030205001019,2
450030205001020,2
450030205001021,2
450030205001022,2
450030205001023,2
450030205001024,2
450030205001025,2
450030205001026,2
450030205001027,2
450030205001028,2
450030205001029,2
450030205001030,2
450030205001031,2
450030205001032,2
450030205001033,2
450030205001034,2
450030205001041,2
450030206042000,2
450030206042001,2
450030206042002,2
450030206042003,2
450030206042004,2
450030206042005,2
450030206042006,2
450030206042007,2
450030206042008,2
450030206042009,2
450030206042010,2
450030206042011,2
450030206042012,2
450030206042013,2
450030206042014,2
450030206042015,2
450030206042016,2
450030206043000,2
450030206043001,2
450030206043002,2
450030206043003,2
450030206043004,2
450030206043005,2
450030206043006,2
450030206043007,2
450030206043008,2
450030206043009,2
450030206043010,2
450030206043011,2
450030206043012,2
450030206043013,2
450030206043014,2
450030206043015,2
450030206043016,2
450030206043017,2
450030206043039,2
450030206043040,2
450030206043043,2
450030206043044,2
450030207012000,2
450030207012001,2
450030207012002,2
450030207012003,2
450030207012004,2
450030207012005,2
450030207012006,2
450030207012007,2
450030207012008,2
450030207012009,2
450030207012012,2
450030207012013,2
450030207012016,2
450030207012017,2
450030207012018,2
450030207012019,2
450030207012020,2
450030207012021,2
450030207012022,2
450030207012023,2
450030207012024,2
450030207012026,2
450030207012027,2
450030207012028,2
450030207012029,2
450030207012057,2
450030207013007,2
450030207013008,2
450030207013009,2
450030207013010,2
450030208021005,2
450030208021006,2
450030208021010,2
450030208021012,2
450030208021013,2
450030208021014,2
450030208021015,2
450030208021017,2
450030208021018,2
450030208021019,2
450030208021020,2
450030208021021,2
450030208021022,2
450030208021023,2
450030208021024,2
450030208021025,2
450030208021026,2
450030208021027,2
450030208021028,2
450030208021029,2
450030208021030,2
450030208021031,2
450030208021032,2
450030208021033,2
450030208021034,2
450030208021035,2
450030208021036,2
450030208021037,2
450030208021038,2
450030208021039,2
450030208021040,2
450030208021041,2
450030208021042,2
450030208021043,2
450030208021044,2
450030208021045,2
450030208021046,2
450030208021048,2
450030208021052,2
450030208021053,2
450030208021054,2
450030208021055,2
450030208021056,2
450030208021057,2
450030208021058,2
450030208021059,2
450030208021060,2
450030208021061,2
450030208021062,2
450030208021063,2
450030208021064,2
450030208021065,2
450030208021066,2
450030208021067,2
450030208021068,2
450030208021069,2
450030208021070,2
450030208021071,2
450030208021072,2
450030208021073,2
450030208021074,2
450030208021075,2
450030208021076,2
450030208021077,2
450030208021078,2
450030208021079,2
450030208021080,2
450030208021081,2
450030208021082,2
450030208021083,2
450030208021084,2
450030208021085,2
450030208021086,2
450030208021087,2
450030208021088,2
450030208021089,2
450030208021090,2
450030208023021,2
450030208023022,2
450030208023023,2
450030208023025,2
450030208023028,2
450030208023029,2
450030208023030,2
450030208023031,2
450379702012000,3
450379702012001,3
450379702012002,3
450379702012003,3
450379702012004,3
450379702012005,3
450379702012006,3
450379702012007,3
450379702012008,3
450379702012009,3
450379702012010,3
450379702012011,3
450379702012012,3
450379702012013,3
450379702012014,3
450379702012015,3
450379702012016,3
450379702012017,3
450379702012018,3
450379702012019,3
450379702012020,3
450379702012021,3
450379702012022,3
450379702012023,3
450379702012024,3
450379702012025,3
450379702012026,3
450379702012027,3
450379702012028,3
450379702012029,3
450379702012030,3
450379702012031,3
450379702012032,3
450379702012033,3
450379702012034,3
450379702012035,3
450379702012036,3
450379702012037,3
450379702012038,3
450379702012039,3
450379702012040,3
450379702012041,3
450379702012042,3
450379702012043,3
450379702012044,3
450379702012045,3
450379702012046,3
450379702012047,3
450379702012048,3
450379702012049,3
450379702012050,3
450379702012051,3
450379702012052,3
450379702012053,3
450379702012054,3
450379702012055,3
450379702012056,3
450379702012057,3
450379702012058,3
450379702012059,3
450379702012060,3
450379702012061,3
450379702012062,3
450379702012063,3
450379702012064,3
450379702012065,3
450379702041017,3
450379702041018,3
450379705021001,3
450379705021002,3
450379705021003,3
450379705021006,3
450379705021007,3
450379705023000,3
450379705023001,3
450379705023002,3
450379705023003,3
450379705023004,3
450030205004000,2
450030205004001,2
450030205004002,2
450030205004003,2
450030205004004,2
450030205004005,2
450030205004006,2
450030205004007,2
450030205004008,2
450030205004009,2
450030205004010,2
450030205004011,2
450030205004012,2
450030205004013,2
450030205004014,2
450030205004015,2
450030205004016,2
450030205004017,2
450030205004018,2
450030205004019,2
450030205004020,2
450030205004021,2
450030205004022,2
450030205004023,2
450030205004024,2
450030205004025,2
450030205003000,2
450030205003001,2
450030205003002,2
450030205003003,2
450030205003004,2
450030205003005,2
450030205003006,2
450030205003007,2
450030205003008,2
450030205003009,2
450030205003010,2
450030205003011,2
450030205003012,2
450030205003013,2
450030205003014,2
450030205003015,2
450030205003016,2
450030205003017,2
450030204011022,2
450030205002000,2
450030205002001,2
450030205002003,2
450030205002004,2
450030205002005,2
450030205002006,2
450030205002007,2
450030205002008,2
450030205002009,2
450030205002010,2
450030205002011,2
450030205002012,2
450030205002013,2
450030205002014,2
450030205002015,2
450030205002016,2
450030205002017,2
450030205002018,2
450030205002019,2
450030205002020,2
450030205002021,2
450030205002022,2
450030205002023,2
450030205002024,2
450030205002025,2
450030205002026,2
450030205002027,2
450030205002028,2
450030205002029,2
450030205002030,2
450030205002031,2
450030205002032,2
450030205002033,2
450030205002034,2
450030205002035,2
450030205002036,2
450030205002037,2
450030205002038,2
450030206012000,2
450030206012001,2
450030206012002,2
450030206012003,2
450030206012004,2
450030206012005,2
450030206012006,2
450030206012007,2
450030206012008,2
450030206012009,2
450030206012010,2
450030206012011,2
450030206012012,2
450030206012013,2
450030206012014,2
450030206012015,2
450030206012016,2
450030206012017,2
450030206012018,2
450030206012019,2
450030206041000,2
450030206041001,2
450030206041002,2
450030206041003,2
450030206041004,2
450030206013000,2
450030206013001,2
450030206013002,2
450030206013003,2
450030206013004,2
450030206013005,2
450030206013006,2
450030206013007,2
450030206013008,2
450030206013009,2
450030206013010,2
450030206013011,2
450030206013012,2
450030206013013,2
450030206013014,2
450030206013015,2
450030206013016,2
450030206013017,2
450030206013018,2
450379702031109,2
450379702031111,2
450379702031112,2
450379702031113,2
450379702031114,2
450379702031115,2
450379702031116,2
450379702031120,2
450379702031121,2
450379702031122,2
450379702031123,2
450379702031124,2
450379702031125,2
450379702031126,2
450379702031127,2
450379702031128,2
450379702031129,2
450379702031130,2
450379702031131,2
450379702031132,2
450379702031133,2
450379702031134,2
450379702031135,2
450379702031136,2
450379702031137,2
450379702031138,2
450379702031139,2
450379702031140,2
450379702031141,2
450379702031142,2
450379702031143,2
450379702031144,2
450379702031145,2
450379702031146,2
450379702031147,2
450379702031148,2
450379702031149,2
450379702031150,2
450379702031151,2
450379702031152,2
450379702031153,2
450379702031154,2
450379702031155,2
450379702031158,2
450379702031159,2
450379702032013,2
450379702032014,2
450379702032015,2
450379702032016,2
450379702032017,2
450379702032018,2
450379702032019,2
450379702032020,2
450379702032021,2
450379702032022,2
450379702032023,2
450379702032024,2
450379702032025,2
450379702032026,2
450379702032027,2
450379702032028,2
450379702032029,2
450379702032030,2
450379702032031,2
450379702032032,2
450379702032033,2
450379702032034,2
450379702032035,2
450379702032036,2
450379702032041,2
450379702032042,2
450379702032043,2
450379702032047,2
450379702032048,2
450379702032049,2
450379702032050,2
450379702032051,2
450379702032052,2
450379702032053,2
450379702032054,2
450379702032055,2
450379702032056,2
450379702032057,2
450379702032058,2
450379702032059,2
450379702032060,2
450379702032061,2
450379702032063,2
450379702032064,2
450379702032065,2
450379702032066,2
450379704001052,2
450379704001053,2
450379704001054,2
450379704001055,2
450379704001056,2
450379704001057,2
450379704001058,2
450379704001059,2
450379704001060,2
450379704001061,2
450379704001062,2
450379704001063,2
450379704001064,2
450379704001065,2
450379704001066,2
450379704001068,2
450379704003010,2
450379704003013,2
450379704003014,2
450379704003015,2
450379704003018,2
450379704003019,2
450379704003020,2
450379704003021,2
450379704003022,2
450379704003023,2
450379704003024,2
450379704003025,2
450379704003026,2
450379704003027,2
450379705012000,2
450379705012001,2
450379705012002,2
450379705012003,2
450379705012004,2
450379705012005,2
450379705012006,2
450379705012007,2
450379705012008,2
450379705012009,2
450379705012010,2
450379705012011,2
450379705012012,2
450379705012013,2
450379705012014,2
450379705012015,2
450379705012016,2
450379705012017,2
450379705012018,2
450379705012019,2
450379705012020,2
450379705012021,2
450379705012022,2
450379705012023,2
450379705013006,2
450379705013014,2
450379702032044,2
450379702032045,2
450379702032046,2
450379702044019,2
450379702044020,2
450379704001001,2
450379704001002,2
450379704001004,2
450379704001005,2
450379704001006,2
450379704001007,2
450379704001008,2
450379704001009,2
450379704001010,2
450379704001011,2
450379704001012,2
450379704001013,2
450379704001014,2
450379704001015,2
450379704001016,2
450379704001017,2
450379704001018,2
450379704001019,2
450379704001020,2
450379704001021,2
450379704001022,2
450379704001023,2
450379704001024,2
450379704001025,2
450379704001026,2
450379704001027,2
450379704001028,2
450379704001029,2
450379704001030,2
450379704001031,2
450379704001032,2
450379704001033,2
450379704001034,2
450379704001035,2
450379704001036,2
450379704001037,2
450379704001038,2
450379704001039,2
450379704001040,2
450379704001041,2
450379704001042,2
450379704001043,2
450379704001044,2
450379704001045,2
450379704001046,2
450379704001047,2
450379704001048,2
450379704001049,2
450379704001050,2
450379704001051,2
450379704001067,2
450379704002000,2
450379704002001,2
450379704002002,2
450379704002003,2
450379704002004,2
450379704002005,2
450379704002006,2
450379704002007,2
450379704002008,2
450379704002009,2
450379704002010,2
450379704002011,2
450379704002012,2
450379704002013,2
450379704002014,2
450379704002015,2
450379704002016,2
450379704002017,2
450379704002018,2
450379704002019,2
450379704002020,2
450379704002021,2
450379704002022,2
450379704002023,2
450379704002024,2
450379704002025,2
450379704002026,2
450379704002027,2
450379704002028,2
450379704002029,2
450379704002030,2
450379704002031,2
450379704002032,2
450379704002033,2
